
Project:     span1
Program:     Waypoint ToolBox BETA Version 1.00.2506
Profile:     Extended Geographic (TOW)
Source:      GPS Epochs(Forward)

Datum:       WGS84
Remote:      Antenna height 0.000 m, to L1-PC (Generic)
SD/Covariance Scaling Settings:
  Position: No scaling (1-sigma)
  Velocity: No scaling (1-sigma)
  Increase SD on kinematic float: No

      GPSTime Week         Latitude        Longitude        H-Ell      SDHoriz     SDHeight     VEast    VNorth       VUp Sol       Roll      Pitch    Heading
        (sec) week       (+/-D M S)       (+/-D M S)          (m)          (m)          (m)     (m/s)     (m/s)     (m/s)          (Deg)      (Deg)      (Deg)
 34154.550000 2047   22 18 07.67936  114 11 25.43112        2.880        0.000        0.000    -0.001     0.000    -0.013 3     -1.95880    0.56480  138.16490
 34154.650000 2047   22 18 07.67936  114 11 25.43112        2.880        0.000        0.000    -0.003    -0.001     0.008 3     -1.95420    0.56560  138.16730
 34154.750000 2047   22 18 07.67936  114 11 25.43112        2.880        0.000        0.000    -0.007    -0.010    -0.011 3     -1.95080    0.56280  138.16340
 34154.850000 2047   22 18 07.67935  114 11 25.43112        2.880        0.000        0.000    -0.001    -0.004     0.009 3     -1.93610    0.55580  138.16220
 34154.950000 2047   22 18 07.67935  114 11 25.43112        2.880        0.000        0.000    -0.003     0.001    -0.015 3     -1.94470    0.56190  138.16640
 34155.050000 2047   22 18 07.67935  114 11 25.43112        2.880        0.000        0.000     0.001    -0.003     0.010 3     -1.94250    0.56360  138.15920
 34155.150000 2047   22 18 07.67935  114 11 25.43112        2.880        0.000        0.000    -0.005    -0.001    -0.016 3     -1.94340    0.56030  138.16330
 34155.250000 2047   22 18 07.67935  114 11 25.43112        2.880        0.000        0.000    -0.004    -0.002     0.009 3     -1.93670    0.56180  138.16190
 34155.350000 2047   22 18 07.67935  114 11 25.43112        2.880        0.000        0.000    -0.002     0.000    -0.014 3     -1.93940    0.56200  138.16210
 34155.450000 2047   22 18 07.67935  114 11 25.43112        2.880        0.000        0.000    -0.004    -0.002     0.009 3     -1.93760    0.55940  138.16050
